UniqueID,GameID,LastPlayed,NumberPlays,TimePlayedSecs,HighScores
1,1,2024-07-21 07:56:26.972,8,444,None
2,2,2021-02-27 16:16:29.626,1,67,None
3,1058,2024-07-28 15:48:20.447,1,114,None
4,1060,2024-07-28 15:50:23.437,1,71,None
5,1064,2024-07-28 15:51:47.329,1,80,None
6,1003,2024-08-25 11:51:57.431,2,453,None
7,1017,2024-08-28 19:51:37.630,2,295,None
8,1148,2024-07-28 20:59:01.426,1,78,None
9,1147,2024-07-28 21:00:28.455,1,215,None
10,1152,2024-07-28 21:04:11.437,1,353,None
11,1163,2024-07-30 21:27:27.955,10,895,None
12,1010,2024-08-28 19:27:30.749,3,660,None
13,1165,2024-08-25 11:58:14.989,7,1155,None
14,1164,2024-07-29 23:22:13.314,1,233,None
15,1166,2024-07-30 08:42:00.192,2,122,None
16,1140,2024-07-29 23:47:31.007,1,139,None
17,1076,2024-07-30 21:26:19.716,1,54,None
18,1167,2024-07-30 23:05:36.796,1,129,None
19,1168,2024-07-30 23:35:41.483,1,122,None
20,1169,2024-07-30 23:38:00.372,1,97,None
21,1172,2024-07-31 00:14:59.325,3,522,None
22,1171,2024-07-31 00:05:30.651,1,43,None
23,1001,2024-08-01 12:39:35.530,1,40,None
24,1011,2024-08-28 19:34:51.239,3,720,None
25,1028,2024-08-01 12:48:29.158,1,37,None
26,1059,2024-08-06 08:48:31.063,3,179,None
27,6058,2024-08-03 07:54:42.877,1,60,None
28,6023,2024-08-03 08:12:47.004,1,67,None
29,7001,2024-08-06 15:42:39.949,11,1084,None
30,3012,2024-08-03 08:46:51.385,2,143,None
31,3001,2024-08-06 07:11:38.118,3,239,None
32,6009,2024-08-03 08:32:33.346,1,51,None
33,7002,2024-08-06 07:05:55.681,2,111,None
34,3016,2024-08-03 08:48:13.984,1,67,None
35,3020,2024-08-03 08:49:28.668,1,35,None
36,6007,2024-08-03 16:58:58.062,1,220,None
37,3097,2024-08-06 08:40:28.022,16,1140,None
38,1018,2024-08-28 19:53:59.291,5,577,None
39,6002,2024-08-06 08:44:36.301,7,377,None
40,3005,2024-08-05 07:52:14.365,1,63,None
41,3002,2024-08-06 06:56:54.069,1,74,None
42,3003,2024-08-06 08:45:50.757,1,34,None
43,6001,2024-08-06 09:20:49.639,1,43,None
44,3007,2024-08-06 09:21:43.964,1,28,None
45,7005,2024-08-06 09:24:25.316,2,109,None
46,6043,2024-08-06 15:40:47.496,1,49,None
47,3017,2024-08-06 15:41:45.444,1,48,None
48,1004,2024-08-06 15:44:02.197,1,117,None
63,1006,2024-08-25 11:50:16.632,1,87,None
64,1039,2024-08-25 12:08:32.256,1,464,None
65,1012,2024-08-28 19:38:18.572,1,122,None
66,1013,2024-08-28 19:40:31.425,1,51,None
67,1014,2024-08-28 19:46:26.823,2,183,None
68,1015,2024-08-28 19:47:19.216,1,171,None
69,1016,2024-08-28 19:50:14.637,1,77,None
70,1019,2024-08-28 19:56:51.269,2,290,None
71,1020,2024-08-28 20:03:42.146,2,254,None
72,1021,2024-08-28 20:04:56.026,1,245,None
73,1022,2024-08-28 20:09:04.542,1,106,None
74,1023,2024-08-28 20:10:55.728,1,142,None
